;Team_name_home;Round_home;Team_name_away;Home;Away
1634;Suwałki;2;Lublin;1.22;4.02
1635;Gdańsk;2;Aluron;2.6;1.5
1636;GKS;2;Asseco;6.35;1.12
1637;Skra;2;Indykpol;1.2;4.6
1638;Warsza;2;Lubin;1.1;7.1
1639;Czarni;2;ZAKSA;8.05;1.08
1640;Węgiel;2;Nysa;1.03;12.75
1641;ZAKSA;3;Lublin;1.01;13.93
1642;Warsza;3;Węgiel;2.55;1.52
1643;Skra;3;Nysa;1.08;8.05
1644;Asseco;3;Czarni;1.02;14.25
1645;Gdańsk;3;Lubin;1.4;3
1646;Suwałki;3;Indykpol;1.85;1.95
1647;Aluron;3;GKS;1.2;4.6
1648;Lublin;4;GKS;2.77;1.41
1649;Indykpol;4;Aluron;2.7;1.47
1650;Lubin;4;Suwałki;2.55;1.52
1651;Czarni;4;Gdańsk;4.35;1.22
1652;Nysa;4;Asseco;4.95;1.18
1653;Węgiel;4;Skra;1.27;3.8
1654;ZAKSA;4;Warsza;1.4;3
1655;Warsza;5;Lublin;1.04;10
1656;Skra;5;ZAKSA;2.55;1.52
1657;Asseco;5;Węgiel;2.25;1.65
1658;Gdańsk;5;Nysa;1.25;4
1659;Suwałki;5;Czarni;1.32;3.4
1660;Aluron;5;Lubin;1.08;8.05
1661;GKS;5;Indykpol;7.1;1.1
1662;Lublin;6;Indykpol;3.37;1.3
1663;Lubin;6;GKS;1.22;4.35
1664;Czarni;6;Aluron;3.55;1.3
1665;Nysa;6;Suwałki;1.85;1.95
1666;Węgiel;6;Gdańsk;1.08;8.05
1667;ZAKSA;6;Asseco;1.45;2.75
1668;Warsza;6;Skra;1.52;2.55
1669;Skra;7;Lublin;1.05;9
1670;Asseco;7;Warsza;1.45;2.8
1671;Gdańsk;7;ZAKSA;6.35;1.12
1672;Suwałki;7;Węgiel;7.1;1.1
1673;Aluron;7;Nysa;1.08;8.05
1674;GKS;7;Czarni;1.75;2.1
1675;Indykpol;7;Lubin;1.2;4.6
1676;Skra;8;Asseco;1.95;1.85
1677;Lublin;8;Lubin;1.65;2.25
1678;Czarni;8;Indykpol;4;1.25
1679;Nysa;8;GKS;2.15;1.7
1680;Węgiel;8;Aluron;1.3;3.5
1681;ZAKSA;8;Suwałki;1.04;11
1682;Warsza;8;Gdańsk;1.18;4.95
1683;Asseco;9;Lublin;1.1;7
1684;Gdańsk;9;Skra;4;1.25
1685;Suwałki;9;Warsza;3.8;1.27
1686;Aluron;9;ZAKSA;2.4;1.57
1687;GKS;9;Węgiel;6.25;1.12
1688;Indykpol;9;Nysa;1.15;5.5
1689;Lubin;9;Czarni;1.55;2.36
1690;Lublin;10;Czarni;1.39;2.86
1691;Nysa;10;Lubin;1.9;1.9
1692;Indykpol;10;Węgiel;4.8;1.18
1693;ZAKSA;10;GKS;1.04;11.5
1694;Warsza;10;Aluron;2.1;1.75
1695;Skra;10;Suwałki;1.1;7
1696;Asseco;10;Gdańsk;1.15;5.5
