;Team_name_home;Round_home;Team_name_away;Home;Away;;;;;;;;
1706;GKS;2;Warsza;1.58;2.28;;;;;;;;
1707;Barkom;2;Asseco;11.1;1.03;;;;;;;;
1708;Suwałki;2;Gdańsk;2.63;1.44;;;;;;;;
1709;Lubin;2;Nysa;2.11;1.66;;;;;;;;
1710;Skra;2;BBTS;1.03;10.35;;;;;;;;
1711;Czarni;2;Aluron;4.24;1.2;;;;;;;;
1712;ZAKSA;2;Lublin;1.05;8.59;;;;;;;;
1713;Węgiel;2;Indykpol;1.15;4.98;;;;;;;;
1714;Indykpol;3;GKS;1.35;3.02;;;;;;;;
1715;Lublin;3;Węgiel;5.63;1.12;;;;;;;;
1716;Aluron;3;ZAKSA;1.78;1.96;;;;;;;;
1717;BBTS;3;Czarni;3.25;1.31;;;;;;;;
1718;Nysa;3;Skra;3.26;1.31;;;;;;;;
1719;Gdańsk;3;Lubin;1.23;3.86;;;;;;;;
1720;Asseco;3;Suwałki;1.06;8.63;;;;;;;;
1721;Warsza;3;Barkom;1.14;5.18;;;;;;;;
1722;GKS;4;Barkom;1.21;4.13;;;;;;;;
1723;Suwałki;4;Warsza;1.78;1.96;;;;;;;;
1724;Lubin;4;Asseco;7.20;1.07;;;;;;;;
1725;Skra;4;Gdańsk;1.15;4.98;;;;;;;;
1726;Czarni;4;Nysa;2.41;1.52;;;;;;;;
1727;ZAKSA;4;BBTS;1.03;11.04;;;;;;;;
1728;Węgiel;4;Aluron;1.45;2.59;;;;;;;;
1729;Indykpol;4;Lublin;1.24;3.75;;;;;;;;
1730;Lublin;5;GKS;1.58;2.27;;;;;;;;
1731;Aluron;5;Indykpol;1.18;4.4;;;;;;;;
1732;BBTS;5;Węgiel;13.28;1.01;;;;;;;;
1733;Nysa;5;ZAKSA;4.06;1.21;;;;;;;;
1734;Gdańsk;5;Czarni;1.34;3.07;;;;;;;;
1735;Skra;5;Asseco;1.88;1.84;;;;;;;;
1736;Warsza;5;Lubin;1.31;3.25;;;;;;;;
1737;Barkom;5;Suwałki;2.65;1.44;;;;;;;;
1738;GKS;6;Suwałki;1.93;1.79;;;;;;;;
1739;Lubin;6;Barkom;4.64;1.16;;;;;;;;
1740;Skra;6;Warsza;1.20;4.13;;;;;;;;
