,Team_name_home,Round_home,Team_name_away
1706,GKS,2,Warsza
1707,Barkom,2,Asseco
1708,Suwałki,2,Gdańsk
1709,Lubin,2,Nysa
1710,Skra,2,BBTS
1711,Czarni,2,Aluron
1712,ZAKSA,2,Lublin
1713,Węgiel,2,Indykpol
1714,Indykpol,3,GKS
1715,Lublin,3,Węgiel
1716,Aluron,3,ZAKSA
1717,BBTS,3,Czarni
1718,Nysa,3,Skra
1719,Gdańsk,3,Lubin
1720,Asseco,3,Suwałki
1721,Warsza,3,Barkom
1722,GKS,4,Barkom
1723,Suwałki,4,Warsza
1724,Lubin,4,Asseco
1725,Skra,4,Gdańsk
1726,Czarni,4,Nysa
1727,ZAKSA,4,BBTS
1728,Węgiel,4,Aluron
1729,Indykpol,4,Lublin
1730,Lublin,5,GKS
1731,Aluron,5,Indykpol
1732,BBTS,5,Węgiel
1733,Nysa,5,ZAKSA
1734,Gdańsk,5,Czarni
1735,Skra,5,Asseco
1736,Warsza,5,Lubin
1737,Barkom,5,Suwałki
1738,GKS,6,Suwałki
1739,Lubin,6,Barkom
1740,Skra,6,Warsza
1741,Czarni,6,Asseco
1742,ZAKSA,6,Gdańsk
1743,Nysa,6,Węgiel
1744,Indykpol,6,BBTS
1745,Lublin,6,Aluron
1746,Aluron,7,GKS
1747,BBTS,7,Lublin
1748,Nysa,7,Indykpol
1749,Gdańsk,7,Węgiel
1750,Asseco,7,ZAKSA
1751,Warsza,7,Czarni
1752,Barkom,7,Skra
1753,Suwałki,7,Lubin
1754,GKS,8,Lubin
1755,Skra,8,Suwałki
1756,Czarni,8,Barkom
1757,ZAKSA,8,Warsza
1758,Węgiel,8,Asseco
1759,Indykpol,8,Gdańsk
1760,Lublin,8,Nysa
1761,Aluron,8,BBTS
1762,BBTS,9,GKS
1763,Nysa,9,Aluron
1764,Gdańsk,9,Lublin
1765,Asseco,9,Indykpol
1766,Warsza,9,Węgiel
1767,Barkom,9,ZAKSA
1768,Suwałki,9,Czarni
1769,Lubin,9,Skra
1770,GKS,10,Skra
1771,Czarni,10,Lubin
1772,ZAKSA,10,Suwałki
1773,Węgiel,10,Barkom
1774,Indykpol,10,Warsza
1775,Lublin,10,Asseco
1776,Aluron,10,Gdańsk
1777,Nysa,10,BBTS
1778,Nysa,11,GKS
1779,Gdańsk,11,BBTS
1780,Asseco,11,Aluron
1781,Warsza,11,Lublin
1782,Barkom,11,Indykpol
1783,Suwałki,11,Węgiel
1784,Lubin,11,ZAKSA
1785,Skra,11,Czarni
1786,GKS,12,Czarni
1787,Skra,12,ZAKSA
1788,Węgiel,12,Lubin
1789,Indykpol,12,Suwałki
1790,Lublin,12,Barkom
1791,Aluron,12,Warsza
1792,BBTS,12,Asseco
1793,Nysa,12,Gdańsk
1794,Gdańsk,13,GKS
1795,Asseco,13,Nysa
1796,Warsza,13,BBTS
1797,Barkom,13,Aluron
1798,Suwałki,13,Lublin
1799,Indykpol,13,Lubin
1800,Skra,13,Węgiel
1801,ZAKSA,13,Czarni
1802,GKS,14,ZAKSA
1803,Węgiel,14,Czarni
1804,Indykpol,14,Skra
1805,Lublin,14,Lubin
1806,Aluron,14,Suwałki
1807,BBTS,14,Barkom
1808,Nysa,14,Warsza
1809,Gdańsk,14,Asseco
1810,Asseco,15,GKS
1811,Warsza,15,Gdańsk
1812,Barkom,15,Nysa
1813,Suwałki,15,BBTS
1814,Lubin,15,Aluron
1815,Skra,15,Lublin
1816,Czarni,15,Indykpol
1817,Węgiel,15,ZAKSA
1818,GKS,16,Węgiel
1819,ZAKSA,16,Indykpol
1820,Czarni,16,Lublin
1821,Skra,16,Aluron
1822,Lubin,16,BBTS
1823,Suwałki,16,Nysa
1824,Barkom,16,Gdańsk
1825,Warsza,16,Asseco
1826,Warsza,17,GKS
1827,Asseco,17,Barkom
1828,Gdańsk,17,Suwałki
1829,Nysa,17,Lubin
1830,BBTS,17,Skra
1831,Aluron,17,Czarni
1832,Lublin,17,ZAKSA
1833,Indykpol,17,Węgiel
1834,GKS,18,Indykpol
1835,Węgiel,18,Lublin
1836,ZAKSA,18,Aluron
1837,Czarni,18,BBTS
1838,Skra,18,Nysa
1839,Lubin,18,Gdańsk
1840,Suwałki,18,Asseco
1841,Barkom,18,Warsza
1842,Barkom,19,GKS
1843,Warsza,19,Suwałki
1844,Asseco,19,Lubin
1845,Gdańsk,19,Skra
1846,Nysa,19,Czarni
1847,BBTS,19,ZAKSA
1848,Aluron,19,Węgiel
1849,Lublin,19,Indykpol
1850,GKS,20,Lublin
1851,Indykpol,20,Aluron
1852,Węgiel,20,BBTS
1853,ZAKSA,20,Nysa
1854,Czarni,20,Gdańsk
1855,Asseco,20,Skra
1856,Lubin,20,Warsza
1857,Suwałki,20,Barkom
1858,Suwałki,21,GKS
1859,Barkom,21,Lubin
1860,Warsza,21,Skra
1861,Asseco,21,Czarni
1862,Gdańsk,21,ZAKSA
1863,Węgiel,21,Nysa
1864,BBTS,21,Indykpol
1865,Aluron,21,Lublin
1866,GKS,22,Aluron
1867,Lublin,22,BBTS
1868,Indykpol,22,Nysa
1869,Węgiel,22,Gdańsk
1870,ZAKSA,22,Asseco
1871,Czarni,22,Warsza
1872,Skra,22,Barkom
1873,Lubin,22,Suwałki
1874,Lubin,23,GKS
1875,Suwałki,23,Skra
1876,Barkom,23,Czarni
1877,Warsza,23,ZAKSA
1878,Asseco,23,Węgiel
1879,Gdańsk,23,Indykpol
1880,Nysa,23,Lublin
1881,BBTS,23,Aluron
1882,GKS,24,BBTS
1883,Aluron,24,Nysa
1884,Lublin,24,Gdańsk
1885,Indykpol,24,Asseco
1886,Węgiel,24,Warsza
1887,ZAKSA,24,Barkom
1888,Czarni,24,Suwałki
1889,Skra,24,Lubin
1890,Skra,25,GKS
1891,Lubin,25,Czarni
1892,Suwałki,25,ZAKSA
1893,Barkom,25,Węgiel
1894,Warsza,25,Indykpol
1895,Asseco,25,Lublin
1896,Gdańsk,25,Aluron
1897,BBTS,25,Nysa
1898,GKS,26,Nysa
1899,BBTS,26,Gdańsk
1900,Aluron,26,Asseco
1901,Lublin,26,Warsza
1902,Indykpol,26,Barkom
1903,Węgiel,26,Suwałki
1904,ZAKSA,26,Lubin
1905,Czarni,26,Skra
1906,Czarni,27,GKS
1907,ZAKSA,27,Skra
1908,Lubin,27,Węgiel
1909,Suwałki,27,Indykpol
1910,Barkom,27,Lublin
1911,Warsza,27,Aluron
1912,Asseco,27,BBTS
1913,Gdańsk,27,Nysa
1914,GKS,28,Gdańsk
1915,Nysa,28,Asseco
1916,BBTS,28,Warsza
1917,Aluron,28,Barkom
1918,Lublin,28,Suwałki
1919,Lubin,28,Indykpol
1920,Węgiel,28,Skra
1921,Czarni,28,ZAKSA
1922,ZAKSA,29,GKS
1923,Czarni,29,Węgiel
1924,Skra,29,Indykpol
1925,Lubin,29,Lublin
1926,Suwałki,29,Aluron
1927,Barkom,29,BBTS
1928,Warsza,29,Nysa
1929,Asseco,29,Gdańsk
1930,GKS,30,Asseco
1931,Gdańsk,30,Warsza
1932,Nysa,30,Barkom
1933,BBTS,30,Suwałki
1934,Aluron,30,Lubin
1935,Lublin,30,Skra
1936,Indykpol,30,Czarni
1937,ZAKSA,30,Węgiel
